| # | PIS Number | Name | Designation | Password |
| 130 | 10100130 | NARENDRA BOSE | Office Assistant | Bccl@10100130 |
| 131 | 10100131 | ARJUN SAXENA | Mining Sirdar | Bccl@10100131 |
| 132 | 10100132 | AJAY VERMA | General Manager | Bccl@10100132 |
| 133 | 10100133 | ANITA ROY | Junior Engineer (Mining) | Bccl@10100133 |
| 134 | 10100134 | MANOJ PATEL | Deputy General Manager | Bccl@10100134 |
| 135 | 10100135 | ASHA DUBEY | Assistant Manager (Mining) | Bccl@10100135 |
| 136 | 10100136 | BHARAT TRIPATHI | Junior Engineer (Electrical) | Bccl@10100136 |
| 137 | 10100137 | SURESH PRASAD | Safety Officer | Bccl@10100137 |
| 138 | 10100138 | GAURAV VERMA | Manager (Systems) | Bccl@10100138 |
| 139 | 10100139 | DILIP PRASAD | Overman | Bccl@10100139 |
| 140 | 10100140 | DINESH YADAV | Manager (HR) | Bccl@10100140 |
| 141 | 10100141 | SAPNA CHAUHAN | Deputy General Manager | Bccl@10100141 |
| 142 | 10100142 | PAWAN UPADHYAY | Manager (Mining) | Bccl@10100142 |
| 143 | 10100143 | DEEPAK SINHA | Junior Engineer (Mining) | Bccl@10100143 |
| 144 | 10100144 | SURESH GHOSH | Accounts Clerk | Bccl@10100144 |
| 145 | 10100145 | REKHA GUPTA | Technical Assistant | Bccl@10100145 |
| 146 | 10100146 | SANTOSH MISHRA | Junior Engineer (Civil) | Bccl@10100146 |
| 147 | 10100147 | SANJAY PRASAD | Junior Engineer (Electrical) | Bccl@10100147 |
| 148 | 10100148 | DINESH RAJPUT | Accounts Clerk | Bccl@10100148 |
| 149 | 10100149 | ANAND BANERJEE | Technical Assistant | Bccl@10100149 |
| 150 | 10100150 | REKHA BANERJEE | Safety Officer | Bccl@10100150 |
| 151 | 10100151 | RAHUL PATEL | Junior Engineer (Electrical) | Bccl@10100151 |
| 152 | 10100152 | UMESH SINHA | Accounts Clerk | Bccl@10100152 |
| 153 | 10100153 | GOPAL GUPTA | Manager (Finance) | Bccl@10100153 |
| 154 | 10100154 | GIRISH MANDAL | Junior Engineer (Mechanical) | Bccl@10100154 |
| 155 | 10100155 | HARISH DAS | Junior Engineer (Electrical) | Bccl@10100155 |
| 156 | 10100156 | NARENDRA SHARMA | Manager (HR) | Bccl@10100156 |
| 157 | 10100157 | NISHA VERMA | Accounts Clerk | Bccl@10100157 |
| 158 | 10100158 | AMIT UPADHYAY | General Manager | Bccl@10100158 |
| 159 | 10100159 | RAJESH JHA | Steno Typist | Bccl@10100159 |
| 160 | 10100160 | NAVEEN THAKUR | General Manager | Bccl@10100160 |
| 161 | 10100161 | RAKESH TIWARI | Junior Engineer (Mechanical) | Bccl@10100161 |
| 162 | 10100162 | VIKRAM AGARWAL | Assistant Manager (Mining) | Bccl@10100162 |
| 163 | 10100163 | REKHA OJHA | Technical Assistant | Bccl@10100163 |
| 164 | 10100164 | ASHA BANERJEE | Manager (Systems) | Bccl@10100164 |
| 165 | 10100165 | PRADEEP PANDEY | Junior Engineer (Electrical) | Bccl@10100165 |
| 166 | 10100166 | SUNITA RAM | Deputy General Manager | Bccl@10100166 |
| 167 | 10100167 | LATA SRIVASTAVA | Junior Engineer (Civil) | Bccl@10100167 |
| 168 | 10100168 | PRADEEP ROY | Assistant Manager (Mining) | Bccl@10100168 |
| 169 | 10100169 | YOGESH SAXENA | Mining Sirdar | Bccl@10100169 |
| 170 | 10100170 | RITU MAHTO | Data Entry Operator | Bccl@10100170 |
| 171 | 10100171 | RAMESH BANERJEE | Data Entry Operator | Bccl@10100171 |
| 172 | 10100172 | GIRISH PANDEY | Assistant Manager (Systems) | Bccl@10100172 |
| 173 | 10100173 | PRAMOD NATH | Technical Assistant | Bccl@10100173 |
| 174 | 10100174 | SANJAY PANDEY | Safety Officer | Bccl@10100174 |
| 175 | 10100175 | GANESH PATHAK | Assistant Manager (HR) | Bccl@10100175 |
| 176 | 10100176 | RITU JHA | Junior Engineer (Electrical) | Bccl@10100176 |
| 177 | 10100177 | RITU KUMAR | Manager (Finance) | Bccl@10100177 |
| 178 | 10100178 | SANTOSH CHAUHAN | Deputy General Manager | Bccl@10100178 |
| 179 | 10100179 | SACHIN PANDEY | Manager (Finance) | Bccl@10100179 |
| 180 | 10100180 | DEEPAK MAHTO | Junior Engineer (Electrical) | Bccl@10100180 |
| 181 | 10100181 | DINESH DEY | Assistant Manager (Mining) | Bccl@10100181 |
| 182 | 10100182 | SAPNA PRASAD | Junior Engineer (Civil) | Bccl@10100182 |
| 183 | 10100183 | CHANDRA SAXENA | Manager (Mining) | Bccl@10100183 |
| 184 | 10100184 | DEVENDRA MAHTO | Assistant Manager (Mining) | Bccl@10100184 |
| 185 | 10100185 | RAVI MISHRA | Assistant Manager (Systems) | Bccl@10100185 |
| 186 | 10100186 | AJAY SINGH | Senior Manager | Bccl@10100186 |
| 187 | 10100187 | VARUN KUMAR | Office Assistant | Bccl@10100187 |
| 188 | 10100188 | CHANDRA SHARMA | Manager (Finance) | Bccl@10100188 |
| 189 | 10100189 | SANJAY NATH | Senior Manager | Bccl@10100189 |
| 190 | 10100190 | SEEMA JAISWAL | Office Assistant | Bccl@10100190 |
| 191 | 10100191 | SACHIN TIWARI | Overman | Bccl@10100191 |
| 192 | 10100192 | SUNIL CHAUHAN | Deputy General Manager | Bccl@10100192 |
| 193 | 10100193 | SURENDRA PRASAD | Data Entry Operator | Bccl@10100193 |
| 194 | 10100194 | TARUN BANERJEE | Mining Sirdar | Bccl@10100194 |
| 195 | 10100195 | NARESH CHATURVEDI | Deputy General Manager | Bccl@10100195 |
| 196 | 10100196 | DINESH AGARWAL | Assistant Manager (Mining) | Bccl@10100196 |
| 197 | 10100197 | MAHESH RAM | Manager (HR) | Bccl@10100197 |
| 198 | 10100198 | VIKRAM KESHRI | Assistant Manager (Mining) | Bccl@10100198 |
| 199 | 10100199 | ANAND SAXENA | Junior Engineer (Mechanical) | Bccl@10100199 |
| 200 | 10100200 | BHARAT NATH | Office Assistant | Bccl@10100200 |
